,content,type
19, didst thou promise beauteous day make travel forth without cloak let base cloud oertake way hiding thy bravery rotten smoke ti enough cloud thou break dry rain stormbeaten face man well salve speak heals wound cure disgrace thy shame give physic grief though thou repent yet still loss offender sorrow lends weak relief bear strong offence cross ah tear pearl thy love shed rich ransom ill deed,Nature
20, welcome sun sea freake returned cheereth beam naked earth gain coming apparel absence six long month mourned fragrant side sends greet rashed primrose violet field meadow doth beset flower hang tree pearl meet amid hope joy doth forget kill hemlock doth grow fast chill adder making much haste black son revived heat till summer come diverse colour clad much like epigram good bad,Nature
21, met courtier riding plain wellmounted brave gallant steed sat upon jade spurred pain lazy beast whose tired side bleed saw case courtesy rein horse drew bridle desire company corvetting way win besteaded horse stood still faster mine could go,Nature
22, walking field wantcatcher spied went desirous game sir taken want yes replied dozen lately taen left quoth sir show worse work went twould want crept purse farewell friend wantcatcher since twill thou can not catch want catch,Nature
23, fishing fisher may protest pleasure sweetest sport best exercise excellent recreation innocent sport marred ye fish decrease fisher multiply,Nature
24, come darkest night becoming sorrow best light leave thy light fitt lightsome soule darknes doth truly sure mee oprest absence power doth mirthe controle tree hanging head condole sweet sommers parting leaf distrest dying coulers make griefefull role soe much ala sorrow prest thus dead leaf farewell carpetts made theyr fall theyr branch theyr mourning prove leavles naked body whose huese vade hopefull greene wither theyr love tree leaf absence mourner bee noe mervaile grieve like want see,Nature
25, januarie gloga prima argvment fyrst glogue colin clout shepheardes boy complaineth vnfortunate loue newly semeth enamoured countrie lasse called rosalinde strong affection sore traueled compareth carefull case sadde season yeare frostie ground frosen tree owne winterbeaten flocke lastlye fynding himselfe robbed former pleasaunce delight hee breaketh pipe peeces casteth selfe ground colin cloute shepeheards boye better doe call winter wastful spight almost spent sunneshine day befall led forth flock long ypent faynt woxe feeble folde vnnethes feete could vphold sheepe shepeheards looke pale wanne ala may seeme lovd el care tooke well couth tune pipe frame stile tho hill faynting flocke ledde thus playnd shepe fedde ye god loue pitie louers payne god paine louers pitie looke aboue ioyes remaine bowe eares vnto doleful dittie pan thou shepheards god didst loue pitie paine thou thy selfe didst proue thou barrein ground whome winter wrath hath wasted art made myrrhour behold plight whilome thy fresh spring flowrd hasted thy sommer prowde daffadillies dight come thy wynters stormy state thy mantle mard wherein thou maskedst late rage winter reigneth heart life bloud friesing wtih vnkindly cold stormy stoures breede balefull smarte yeare wast woxen old yet ala spring begonne yet ala yt already donne naked tree whose shady leaf lost wherein byrd wont build bowre clothd mosse hoary frost instede bloosmes wherwith bud flowre see teares boughes doe raine whose drop drery ysicles remaine lustfull leafe drye sere timely bud wayling wasted blossome braunch youth beare breathed sighes blowne away blasted mine eye drizling teares descend boughes ysicles depend thou feeble flocke whose fleece rough rent whose knee weak fast evill fare mayst witnesse well thy ill gouernement thy maysters mind ouercome care thou weak wanne thou leabe quite forlorne mourning pyne pyning mourne thousand sithes curse carefull hower wherein longd neighbour towne see eke tenne thousand sithes blesse stoure wherein sawe fayre sight shee yet naught snch sight hath bred bane ah god loue breede ioy payne hobbinol wherefore plaine albee loue seeke dayly suit clownish gift curtsy disdaine kiddes cracknelles early fruit ah foolish hobbinol thy gyfts bene vayne colin give rosalind againe loue thilke lasse ala doe loue forlorne ala lorne shee deignes good doth reproue rurall musick holdeth scorne shepheards deuise hateth snake laughes songes colin clout doth make wherefore pype albee rude pan thou please yet thou pleasest would thou vnlucky muse wontst ease musing mynd yet canst thou pype muse shall sore abye broke oaten pype downe dyd lye welked phoebus gan availe weary waine nowe frosty night mantle black heauen gan overhaile seene pensife boy halfe despight arose homeward drove sonned sheepe whose hanging head seeme carefull case weepe,Nature
26, bee suck suck cowslip bell lie couch owl cry bat back fly summer merrily merrily merrily shall live blossom hang bough,Nature
27, ti true ti day though wilt thou therefore rise rise ti light lie twas night love spite darkness brought u hither despite light keep u together light hath tongue eye could speak well spy worst could say well fain would stay loved heart honour would go must business thee hence remove oh thats worst disease love poor foul false love admit busied man hath business make love doth wrong married man doth woo,Nature
28, hoary winter night stood shivering snow surprisd sudden heat made heart glow lifting fearful eye view fire near pretty babe burning bright air appear scorched excessive heat flood tear shed though flood quench flame tear fed ala quoth newly born fiery heat fry yet none approach warm heart feel fire faultless breast furnace fuel wounding thorn love fire sigh smoke ash shame scorn fuel justice layeth mercy blow coal metal furnace wrought men defiled soul fire work good melt bath wash blood vanishd sight swiftly shrunk away straight called unto mind christmas day,Nature
